ISO,Year,PGC_Waste
ABW,2000,1464.948454
ABW,2001,1464.948454
ABW,2002,1464.948454
ABW,2003,1464.948454
ABW,2004,1464.948454
ABW,2005,1464.948454
ABW,2006,1464.948454
ABW,2007,1464.948454
ABW,2008,1464.948454
ABW,2009,1464.948454
ABW,2010,1464.948454
ABW,2011,1464.948454
ABW,2012,1464.948454
ABW,2013,1464.948454
ABW,2014,1464.948454
ABW,2015,1464.948454
ABW,2016,1464.948454
ABW,2017,1371.178218
ABW,2018,1371.178218
ABW,2019,1334.356436
AFG,2000,170.3623241
AFG,2001,170.3623241
AFG,2002,170.3623241
AFG,2003,170.3623241
AFG,2004,170.3623241
AFG,2005,170.3623241
AFG,2006,170.3623241
AFG,2007,170.3623241
AFG,2008,170.3623241
AFG,2009,170.3623241
AFG,2010,170.3623241
AFG,2011,170.3623241
AFG,2012,170.3623241
AFG,2013,170.3623241
AFG,2014,170.3623241
AFG,2015,170.3623241
AFG,2016,170.3623241
AFG,2017,96.69516158
AFG,2018,96.69516158
AFG,2019,122.0206742
AGO,2000,892.6357241
AGO,2001,892.6357241
AGO,2002,892.6357241
AGO,2003,892.6357241
AGO,2004,892.6357241
AGO,2005,892.6357241
AGO,2006,892.6357241
AGO,2007,892.6357241
AGO,2008,892.6357241
AGO,2009,892.6357241
AGO,2010,892.6357241
AGO,2011,892.6357241
AGO,2012,892.6357241
AGO,2013,892.6357241
AGO,2014,892.6357241
AGO,2015,892.6357241
AGO,2016,892.6357241
AGO,2017,896.4217346
AGO,2018,896.4217346
AGO,2019,856.2081851
ALB,2000,507.0209011
ALB,2001,507.0209011
ALB,2002,507.0209011
ALB,2003,507.0209011
ALB,2004,507.0209011
ALB,2005,507.0209011
ALB,2006,507.0209011
ALB,2007,507.0209011
ALB,2008,507.0209011
ALB,2009,507.0209011
ALB,2010,507.0209011
ALB,2011,507.0209011
ALB,2012,507.0209011
ALB,2013,507.0209011
ALB,2014,507.0209011
ALB,2015,507.0209011
ALB,2016,507.0209011
ALB,2017,513.7754483
ALB,2018,513.7754483
ALB,2019,543.8009283
AND,2000,347.2335217
AND,2001,347.2335217
AND,2002,347.2335217
AND,2003,347.2335217
AND,2004,347.2335217
AND,2005,347.2335217
AND,2006,347.2335217
AND,2007,347.2335217
AND,2008,347.2335217
AND,2009,347.2335217
AND,2010,347.2335217
AND,2011,347.2335217
AND,2012,347.2335217
AND,2013,347.2335217
AND,2014,347.2335217
AND,2015,347.2335217
AND,2016,347.2335217
AND,2017,405.3728814
AND,2018,405.3728814
AND,2019,374.9039548
ARE,2000,19.51349458
ARE,2001,19.51349458
ARE,2002,19.51349458
ARE,2003,19.51349458
ARE,2004,19.51349458
ARE,2005,19.51349458
ARE,2006,19.51349458
ARE,2007,19.51349458
ARE,2008,19.51349458
ARE,2009,19.51349458
ARE,2010,19.51349458
ARE,2011,19.51349458
ARE,2012,19.51349458
ARE,2013,19.51349458
ARE,2014,19.51349458
ARE,2015,19.51349458
ARE,2016,19.51349458
ARE,2017,4.575258516
ARE,2018,4.575258516
ARE,2019,5.171319951
ARG,2000,507.2271982
ARG,2001,507.2271982
ARG,2002,507.2271982
ARG,2003,507.2271982
ARG,2004,507.2271982
ARG,2005,507.2271982
ARG,2006,507.2271982
ARG,2007,507.2271982
ARG,2008,507.2271982
ARG,2009,507.2271982
ARG,2010,507.2271982
ARG,2011,507.2271982
ARG,2012,507.2271982
ARG,2013,507.2271982
ARG,2014,507.2271982
ARG,2015,507.2271982
ARG,2016,507.2271982
ARG,2017,525.1601038
ARG,2018,525.1601038
ARG,2019,493.2509618
ARM,2000,478.6682425
ARM,2001,478.6682425
ARM,2002,478.6682425
ARM,2003,478.6682425
ARM,2004,478.6682425
ARM,2005,478.6682425
ARM,2006,478.6682425
ARM,2007,478.6682425
ARM,2008,478.6682425
ARM,2009,478.6682425
ARM,2010,478.6682425
ARM,2011,478.6682425
ARM,2012,478.6682425
ARM,2013,478.6682425
ARM,2014,478.6682425
ARM,2015,478.6682425
ARM,2016,478.6682425
ARM,2017,383.4949024
ARM,2018,383.4949024
ARM,2019,379.6673305
ASM,2000,2085.586667
ASM,2001,2085.586667
ASM,2002,2085.586667
ASM,2003,2085.586667
ASM,2004,2085.586667
ASM,2005,2085.586667
ASM,2006,2085.586667
ASM,2007,2085.586667
ASM,2008,2085.586667
ASM,2009,2085.586667
ASM,2010,2085.586667
ASM,2011,2085.586667
ASM,2012,2085.586667
ASM,2013,2085.586667
ASM,2014,2085.586667
ASM,2015,2085.586667
ASM,2016,2085.586667
ASM,2017,1993.539474
ASM,2018,1993.539474
ASM,2019,1973.342105
ATG,2000,1482.678947
ATG,2001,1482.678947
ATG,2002,1482.678947
ATG,2003,1482.678947
ATG,2004,1482.678947
ATG,2005,1482.678947
ATG,2006,1482.678947
ATG,2007,1482.678947
ATG,2008,1482.678947
ATG,2009,1482.678947
ATG,2010,1482.678947
ATG,2011,1482.678947
ATG,2012,1482.678947
ATG,2013,1482.678947
ATG,2014,1482.678947
ATG,2015,1482.678947
ATG,2016,1482.678947
ATG,2017,1631.748663
ATG,2018,1631.748663
ATG,2019,1540.68984
AUS,2000,354.427455
AUS,2001,354.427455
AUS,2002,354.427455
AUS,2003,354.427455
AUS,2004,354.427455
AUS,2005,354.427455
AUS,2006,354.427455
AUS,2007,354.427455
AUS,2008,354.427455
AUS,2009,354.427455
AUS,2010,354.427455
AUS,2011,354.427455
AUS,2012,354.427455
AUS,2013,354.427455
AUS,2014,354.427455
AUS,2015,354.427455
AUS,2016,354.427455
AUS,2017,397.4057192
AUS,2018,397.4057192
AUS,2019,237.8622194
AUT,2000,408.8130669
AUT,2001,408.8130669
AUT,2002,408.8130669
AUT,2003,408.8130669
AUT,2004,408.8130669
AUT,2005,408.8130669
AUT,2006,408.8130669
AUT,2007,408.8130669
AUT,2008,408.8130669
AUT,2009,408.8130669
AUT,2010,408.8130669
AUT,2011,408.8130669
AUT,2012,408.8130669
AUT,2013,408.8130669
AUT,2014,408.8130669
AUT,2015,408.8130669
AUT,2016,408.8130669
AUT,2017,388.9954829
AUT,2018,388.9954829
AUT,2019,365.9868568
AZE,2000,379.6569514
AZE,2001,379.6569514
AZE,2002,379.6569514
AZE,2003,379.6569514
AZE,2004,379.6569514
AZE,2005,379.6569514
AZE,2006,379.6569514
AZE,2007,379.6569514
AZE,2008,379.6569514
AZE,2009,379.6569514
AZE,2010,379.6569514
AZE,2011,379.6569514
AZE,2012,379.6569514
AZE,2013,379.6569514
AZE,2014,379.6569514
AZE,2015,379.6569514
AZE,2016,379.6569514
AZE,2017,371.5355843
AZE,2018,371.5355843
AZE,2019,362.2160958
BDI,2000,842.0712955
BDI,2001,842.0712955
BDI,2002,842.0712955
BDI,2003,842.0712955
BDI,2004,842.0712955
BDI,2005,842.0712955
BDI,2006,842.0712955
BDI,2007,842.0712955
BDI,2008,842.0712955
BDI,2009,842.0712955
BDI,2010,842.0712955
BDI,2011,842.0712955
BDI,2012,842.0712955
BDI,2013,842.0712955
BDI,2014,842.0712955
BDI,2015,842.0712955
BDI,2016,842.0712955
BDI,2017,816.377281
BDI,2018,816.377281
BDI,2019,840.4093315
BEL,2000,452.0172016
BEL,2001,452.0172016
BEL,2002,452.0172016
BEL,2003,452.0172016
BEL,2004,452.0172016
BEL,2005,452.0172016
BEL,2006,452.0172016
BEL,2007,452.0172016
BEL,2008,452.0172016
BEL,2009,452.0172016
BEL,2010,452.0172016
BEL,2011,452.0172016
BEL,2012,452.0172016
BEL,2013,452.0172016
BEL,2014,452.0172016
BEL,2015,452.0172016
BEL,2016,452.0172016
BEL,2017,361.5264816
BEL,2018,361.5264816
BEL,2019,360.5665528
BEN,2000,1173.150367
BEN,2001,1173.150367
BEN,2002,1173.150367
BEN,2003,1173.150367
BEN,2004,1173.150367
BEN,2005,1173.150367
BEN,2006,1173.150367
BEN,2007,1173.150367
BEN,2008,1173.150367
BEN,2009,1173.150367
BEN,2010,1173.150367
BEN,2011,1173.150367
BEN,2012,1173.150367
BEN,2013,1173.150367
BEN,2014,1173.150367
BEN,2015,1173.150367
BEN,2016,1173.150367
BEN,2017,1125.392002
BEN,2018,1125.392002
BEN,2019,1158.09471
BFA,2000,929.0361253
BFA,2001,929.0361253
BFA,2002,929.0361253
BFA,2003,929.0361253
BFA,2004,929.0361253
BFA,2005,929.0361253
BFA,2006,929.0361253
BFA,2007,929.0361253
BFA,2008,929.0361253
BFA,2009,929.0361253
BFA,2010,929.0361253
BFA,2011,929.0361253
BFA,2012,929.0361253
BFA,2013,929.0361253
BFA,2014,929.0361253
BFA,2015,929.0361253
BFA,2016,929.0361253
BFA,2017,914.2653564
BFA,2018,914.2653564
BFA,2019,865.2978936
BGD,2000,1137.996999
BGD,2001,1137.996999
BGD,2002,1137.996999
BGD,2003,1137.996999
BGD,2004,1137.996999
BGD,2005,1137.996999
BGD,2006,1137.996999
BGD,2007,1137.996999
BGD,2008,1137.996999
BGD,2009,1137.996999
BGD,2010,1137.996999
BGD,2011,1137.996999
BGD,2012,1137.996999
BGD,2013,1137.996999
BGD,2014,1137.996999
BGD,2015,1137.996999
BGD,2016,1137.996999
BGD,2017,1180.287782
BGD,2018,1180.287782
BGD,2019,1160.932165
BGR,2000,437.4405254
BGR,2001,437.4405254
BGR,2002,437.4405254
BGR,2003,437.4405254
BGR,2004,437.4405254
BGR,2005,437.4405254
BGR,2006,437.4405254
BGR,2007,437.4405254
BGR,2008,437.4405254
BGR,2009,437.4405254
BGR,2010,437.4405254
BGR,2011,437.4405254
BGR,2012,437.4405254
BGR,2013,437.4405254
BGR,2014,437.4405254
BGR,2015,437.4405254
BGR,2016,437.4405254
BGR,2017,460.5208039
BGR,2018,460.5208039
BGR,2019,440.3356524
